Time,Total,,
13/01/2030 10:59,41943.71553,,
13/01/2030 11:59,42814.1145,,
13/01/2030 12:59,43310.43176,,
13/01/2030 13:59,43610.58549,,
13/01/2030 14:59,41962.10025,,
13/01/2030 15:59,41987.47523,,
13/01/2030 16:59,42563.94527,,
13/01/2030 17:59,45562.9751,,
13/01/2030 18:59,49322.66916,,
13/01/2030 19:59,48912.60567,,
13/01/2030 20:59,47418.42521,,
13/01/2030 21:59,46060.80058,,
13/01/2030 22:59,48611.10837,,
13/01/2030 23:59,43895.40596,,
14/01/2030 00:59,42092.40948,,
14/01/2030 01:59,41896.47443,,
14/01/2030 02:59,39034.24993,,
14/01/2030 03:59,35925.81168,,
14/01/2030 04:59,33777.43497,,
14/01/2030 05:59,31154.1227,,
14/01/2030 06:59,30533.23862,,
14/01/2030 07:59,30912.22626,,
14/01/2030 08:59,33558.66134,,
14/01/2030 09:59,36376.31972,,
14/01/2030 10:59,39947.7656,,
14/01/2030 11:59,42051.15407,,
14/01/2030 12:59,43398.60344,,
14/01/2030 13:59,44363.79316,,
14/01/2030 14:59,42935.71544,,
14/01/2030 15:59,42897.7244,,
14/01/2030 16:59,43220.32928,,
14/01/2030 17:59,45248.5304,,
14/01/2030 18:59,49208.72189,,
14/01/2030 19:59,49569.41979,,
14/01/2030 20:59,48444.41752,,
14/01/2030 21:59,46305.13702,,
14/01/2030 22:59,48027.34024,,
14/01/2030 23:59,47751.96841,,
15/01/2030 00:59,44005.35276,,
15/01/2030 01:59,43420.30395,,
15/01/2030 02:59,40639.86446,,
15/01/2030 03:59,37587.58972,,
15/01/2030 04:59,35519.8442,,
15/01/2030 05:59,33441.41896,,
15/01/2030 06:59,35327.58224,,
15/01/2030 07:59,40553.38407,,
15/01/2030 08:59,47253.40505,,
15/01/2030 09:59,49615.02534,,
15/01/2030 10:59,51113.71005,,
15/01/2030 11:59,51438.71009,,
15/01/2030 12:59,51625.20444,,
15/01/2030 13:59,51582.91588,,
15/01/2030 14:59,49727.46713,,
15/01/2030 15:59,49542.13808,,
15/01/2030 16:59,50040.22828,,
15/01/2030 17:59,52592.78482,,
15/01/2030 18:59,56528.09613,,
15/01/2030 19:59,56519.2654,,
15/01/2030 20:59,54541.36457,,
15/01/2030 21:59,51556.72694,,
15/01/2030 22:59,52230.44821,,
15/01/2030 23:59,48641.05816,,
16/01/2030 00:59,45322.6717,,
16/01/2030 01:59,44501.35242,,
16/01/2030 02:59,41706.87458,,
16/01/2030 03:59,38760.70158,,
16/01/2030 04:59,36762.99887,,
16/01/2030 05:59,34635.65752,,
16/01/2030 06:59,36133.4857,,
16/01/2030 07:59,40919.15597,,
16/01/2030 08:59,47647.52601,,
16/01/2030 09:59,49291.00462,,
16/01/2030 10:59,49924.32243,,
16/01/2030 11:59,49650.62685,,
16/01/2030 12:59,49472.8763,,
16/01/2030 13:59,49347.74438,,
16/01/2030 14:59,47644.20782,,
16/01/2030 15:59,47632.41641,,
16/01/2030 16:59,48258.35509,,
16/01/2030 17:59,51486.84558,,
16/01/2030 18:59,55314.71189,,
16/01/2030 19:59,54212.94817,,
16/01/2030 20:59,51568.3499,,
16/01/2030 21:59,49201.86567,,
16/01/2030 22:59,51089.99177,,
16/01/2030 23:59,48160.49273,,
17/01/2030 00:59,44530.22765,,
17/01/2030 01:59,43789.684,,
17/01/2030 02:59,40973.4142,,
17/01/2030 03:59,37953.177,,
17/01/2030 04:59,35895.07271,,
17/01/2030 05:59,33706.81413,,
17/01/2030 06:59,35165.23171,,
17/01/2030 07:59,39962.42225,,
17/01/2030 08:59,46794.78838,,
17/01/2030 09:59,48981.44201,,
17/01/2030 10:59,50135.36108,,
17/01/2030 11:59,50143.50784,,
17/01/2030 12:59,50121.11413,,
17/01/2030 13:59,49970.61491,,
17/01/2030 14:59,48104.10344,,
17/01/2030 15:59,47954.52545,,
17/01/2030 16:59,48435.83755,,
17/01/2030 17:59,51212.82518,,
17/01/2030 18:59,55161.17596,,
17/01/2030 19:59,55059.22848,,
17/01/2030 20:59,53120.81701,,
17/01/2030 21:59,50537.24479,,
17/01/2030 22:59,51777.06323,,
17/01/2030 23:59,49703.89925,,
18/01/2030 00:59,46077.41814,,
18/01/2030 01:59,45421.80262,,
18/01/2030 02:59,42666.71344,,
18/01/2030 03:59,39662.99692,,
18/01/2030 04:59,37622.18547,,
18/01/2030 05:59,35468.13887,,
18/01/2030 06:59,36951.34552,,
18/01/2030 07:59,41822.06492,,
18/01/2030 08:59,48669.47527,,
18/01/2030 09:59,50799.01525,,
18/01/2030 10:59,51897.87701,,
18/01/2030 11:59,51850.29749,,
18/01/2030 12:59,51803.18415,,
18/01/2030 13:59,51643.52476,,
18/01/2030 14:59,49769.15568,,
18/01/2030 15:59,49607.50289,,
18/01/2030 16:59,50054.57548,,
18/01/2030 17:59,52760.96374,,
18/01/2030 18:59,56825.05476,,
18/01/2030 19:59,56960.36379,,
18/01/2030 20:59,55099.93581,,
18/01/2030 21:59,52354.43825,,
18/01/2030 22:59,53437.61492,,
18/01/2030 23:59,49295.90842,,
19/01/2030 00:59,45650.03665,,
19/01/2030 01:59,45032.17304,,
19/01/2030 02:59,42289.14891,,
19/01/2030 03:59,39286.68685,,
19/01/2030 04:59,37224.39043,,
19/01/2030 05:59,34976.70275,,
19/01/2030 06:59,36264.08164,,
19/01/2030 07:59,41029.01745,,
19/01/2030 08:59,48017.4533,,
19/01/2030 09:59,50322.26927,,
19/01/2030 10:59,51583.23303,,
19/01/2030 11:59,51611.58635,,
19/01/2030 12:59,51601.5375,,
19/01/2030 13:59,51453.34947,,
19/01/2030 14:59,49536.20224,,
19/01/2030 15:59,49298.04669,,
19/01/2030 16:59,49571.70656,,
19/01/2030 17:59,52091.01115,,
19/01/2030 18:59,56135.2668,,
19/01/2030 19:59,56374.30353,,
19/01/2030 20:59,54584.90254,,
19/01/2030 21:59,51843.18143,,
19/01/2030 22:59,52947.93171,,
19/01/2030 23:59,49276.75796,,
20/01/2030 00:59,46914.86055,,
20/01/2030 01:59,46378.3493,,
20/01/2030 02:59,43598.74404,,
20/01/2030 03:59,40624.079,,
20/01/2030 04:59,38500.78014,,
20/01/2030 05:59,35694.96789,,
20/01/2030 06:59,34956.77296,,
20/01/2030 07:59,36772.50907,,
20/01/2030 08:59,42129.73451,,
20/01/2030 09:59,44466.48675,,
20/01/2030 10:59,46508.25444,,
20/01/2030 11:59,47193.86777,,
20/01/2030 12:59,47633.96057,,
20/01/2030 13:59,48071.66148,,
20/01/2030 14:59,46485.00983,,
20/01/2030 15:59,46348.89747,,
20/01/2030 16:59,46310.98967,,
20/01/2030 17:59,48985.75855,,
20/01/2030 18:59,53017.4862,,
20/01/2030 19:59,52342.28612,,
20/01/2030 20:59,50128.28438,,
20/01/2030 21:59,48133.27014,,
20/01/2030 22:59,50780.25524,,
20/01/2030 23:59,47379.05908,,
21/01/2030 00:59,45438.80538,,
21/01/2030 01:59,45094.01958,,
21/01/2030 02:59,42218.74925,,
21/01/2030 03:59,39157.48365,,
21/01/2030 04:59,37019.43499,,
21/01/2030 05:59,34328.53778,,
21/01/2030 06:59,33700.71626,,
21/01/2030 07:59,34475.14108,,
21/01/2030 08:59,37877.50184,,
21/01/2030 09:59,40588.81569,,
21/01/2030 10:59,43758.72124,,
21/01/2030 11:59,45514.18953,,
21/01/2030 12:59,46632.83593,,
21/01/2030 13:59,47461.71738,,
21/01/2030 14:59,46002.18215,,
21/01/2030 15:59,45933.28308,,
21/01/2030 16:59,46148.84381,,
21/01/2030 17:59,48339.88326,,
21/01/2030 18:59,52129.6532,,
21/01/2030 19:59,51887.34454,,
21/01/2030 20:59,50335.88421,,
21/01/2030 21:59,48399.70875,,
21/01/2030 22:59,50564.31378,,
21/01/2030 23:59,48256.00265,,
22/01/2030 00:59,44354.90251,,
22/01/2030 01:59,43766.67403,,
22/01/2030 02:59,40976.12825,,
22/01/2030 03:59,37904.00041,,
22/01/2030 04:59,35823.17165,,
22/01/2030 05:59,33762.73056,,
22/01/2030 06:59,35780.00377,,
22/01/2030 07:59,41221.39878,,
22/01/2030 08:59,48072.10254,,
22/01/2030 09:59,50541.75867,,
22/01/2030 10:59,52095.88411,,
22/01/2030 11:59,52437.86205,,
22/01/2030 12:59,52623.17804,,
22/01/2030 13:59,52538.35158,,
22/01/2030 14:59,50630.60167,,
22/01/2030 15:59,50414.51205,,
22/01/2030 16:59,50913.19596,,
22/01/2030 17:59,53407.82857,,
22/01/2030 18:59,57369.71651,,
22/01/2030 19:59,57547.46839,,
22/01/2030 20:59,55680.74044,,
22/01/2030 21:59,52607.13532,,
22/01/2030 22:59,53071.65026,,
22/01/2030 23:59,49374.92945,,
23/01/2030 00:59,45678.7704,,
23/01/2030 01:59,44875.10282,,
23/01/2030 02:59,42026.17183,,
23/01/2030 03:59,38999.00739,,
23/01/2030 04:59,36902.85144,,
23/01/2030 05:59,34601.56889,,
23/01/2030 06:59,35958.18176,,
23/01/2030 07:59,40887.82668,,
23/01/2030 08:59,48115.40473,,
23/01/2030 09:59,50421.91436,,
23/01/2030 10:59,51630.32135,,
23/01/2030 11:59,51662.11077,,
23/01/2030 12:59,51643.35207,,
23/01/2030 13:59,51515.80381,,
23/01/2030 14:59,49654.49951,,
23/01/2030 15:59,49461.10122,,
23/01/2030 16:59,49811.05747,,
23/01/2030 17:59,52625.79845,,
23/01/2030 18:59,56444.00283,,
23/01/2030 19:59,55833.96278,,
23/01/2030 20:59,53517.06091,,
23/01/2030 21:59,50997.17528,,
23/01/2030 22:59,52474.97691,,
23/01/2030 23:59,50218.5538,,
24/01/2030 00:59,46360.47345,,
24/01/2030 01:59,45601.06289,,
24/01/2030 02:59,42752.07979,,
24/01/2030 03:59,39689.15197,,
24/01/2030 04:59,37602.0427,,
24/01/2030 05:59,35426.45373,,
24/01/2030 06:59,37068.50145,,
24/01/2030 07:59,42167.05712,,
24/01/2030 08:59,49216.28217,,
24/01/2030 09:59,51585.51228,,
24/01/2030 10:59,52850.57624,,
24/01/2030 11:59,52911.22126,,
24/01/2030 12:59,52899.96455,,
24/01/2030 13:59,52700.65027,,
24/01/2030 14:59,50768.7404,,
24/01/2030 15:59,50580.12592,,
24/01/2030 16:59,51067.65161,,
24/01/2030 17:59,53768.4824,,
24/01/2030 18:59,57727.22854,,
24/01/2030 19:59,57835.18993,,
24/01/2030 20:59,56031.4496,,
24/01/2030 21:59,53342.62567,,
24/01/2030 22:59,54301.67657,,
24/01/2030 23:59,50669.46048,,
